|||||||DEATHS|OCCURRING IN-|||||
21|East Hartford town|153 Il|32|4|8|1|3 I|43 Il|3|5||8|9
22|Enfield town||||||||||||
23|Fairfield town|86|5|1||||6|1|1|8|1|2
24|Greenwich town|112 Il|34|4|2|5|1 Il|46 Il|2|2|1|2|
25|Hartford|84 Il|11|4|1|3||19|5|2|2|1|2
26|Manchester town|264 Il|40|9|1||2 II|52|4|4|7|9|5
27|Meriden town|1,828 Il|305|67|27|16|11 Il|426|42|31|33|54|79
28|Middletown town*||||||||||||
29|Milford town|150|28|5||||83|4|2|8|5|2
30|Naugatuck|410 Il|50|6|2|2|2 Il|62|15|13|4|7|6
||470|41|8|7|4|1|61|8|4|7|7|18
31|New Britain|127|13||2||1 Il|16|2|3|3|4|4
32 33|New Haven|102 II|16|4|3|2||25|2|2|2|1|1
34|New London Norwalk|553|151|18|9|7|4|189|20|6|5|16|21
35|Norwich town*|1,933|261|61|30|16|20 I|388 I|43|36|34|60|58
86|Orange town|356 Il|48|6|3|2|3|62|9|2|9|9|10
87|Stamford town|378 Il|39|11|3|1|3 Il|57 Il|8|4|13|6|8
38|Stonington town|478 II|63|5|5|7|Il|80 Il|14 I|7|10|20|18
39|Stratford town|263|26|5|3|3|1|38|4|2|8|30|32
40|Torrington town|542 II|90|13|5|4|8 I|115 Il|10|5|11|16|21
41|Wallingford town|102 Il|18|1|2|1||22 Il|2|||2|
42|Waterbury|99 II|21|2|3|2||28 Il|5|1|6|4|1
43|Windham town|184|35|5|3|4|1|48|4|7|4|5|6
|DELAWARE.|126 Il|13||1|1|1|16 If|4|1||2|2
44|White|931|210|28|13|8|7|266 Il|24|16 I|20|23|33
|Wilmington Colored.|231|87|7|3|1|1|49 Il|5|1|2|4|11
|DISTRICT OF COLUMBIA.|1,166|211|33|18|9|8|279|28|15|21|36|30
45|(White Washington|195 Il|36|5|2|||43 Il|4|4|10|14|14
|Colored FLORIDA.|3,965|432|63|41|23|22|581|76|44|54|127|140
46|White Jacksonville|2,090 Il|318|57|24|13|12 I|424 Il|38|34|70|110|119
47|Colored Key West White Colored|640|83|8|8|3|3|100|11|6|21|20|42
||823 Il|107|21 I|.17|7|5 Il|157 Il|12|13|32|66|74
48|Miami White|175 Il|31|8|1|1||41|3|1|4|11|6
|Colored|90 Il|14|1|2||2 Il|19 Il|5|1|4|5|10
49|Pensacola 'White Colored|308|46|8|2|1|1|58|1|3|5|8|13
||217|79|11|8|2|2|102|7|2|9|12|14
50|St. Petersburg White Colored|229|37|10|4|3|I|54 Il|8|2|6|6|13
|White|180|23|7|1|1|1|33 Il|2|1|5|12|11
51|Tampa Colored|206|8|1|1|1|1|12|3|1|2|3|2
|GEORGIA.|61|19|2|1|||22 I|2|3|3|1|5
||4/1|75|15|8|5|1|104 I|10|13|13|10|21
52|Atlanta White Colored|224 II|20|3|I|||24 Il|1|3|10|17|22
53|Augusta* White Colored|1,753|228|64|20|15|15|342|39|19|60|75|85
|White|1,325 Il|186|48|17|5|15|271 Il|31|23|48|130|105
54|Brunswick Colored|428 Il|62|12|4|5|2|85 Il|10|8|3|10|16
55|White Savannah|519 Il|67|16|8|5|2|98 I|10|7|17|41|37
|Colored|50|6|2|1|||9||1|1|2|
|1 Nonregistra|99 Il|11|2||||13|1|1|6|8|6
||612 Il|76|8|6|5|6 II|101|9|12|10|25|25
||1,153 Il|196|40|14|4|4 Il|258|13|20|50|82|90

||||||DEATHS|AT AGE|OF-|||||||Deaths|
.80 to 84 years.|35 to39 years.|40 44 years.|45 to49 years.|50 54 years.|55 years.|60 to 64 years.|65 69 years.|70 74 :years.|75 79 years.|80 84 years.|85 89 years.|90 94 years.|95 99 years.|100 years and over.|at un- known age.|
264|330|385|452|540|524|618|544|520|464|304|142|48|12|2||
25|24|30|34|36|38|45|31|11|3|6|1||||2|
||||||||||||||||
9|17|12|23|27|38|51|38|44|47|34|14|10|1|||
7|7|7|6|14|7|11|21|21|21|in|12|3||||
7|14|16|15|18|17|12|18|19|16|19|4|8|2|2||
2|6|7|11|16|9|20|26|25|24|22|13|4||||
3|11|12|18|17|20|20|32|33|29|18|6|2||||
16|23|40|44|46|31|46|42|41|34|30|18|5|1|||
19|15|7|13|11|18|12|13|10|10|11|4|2||||o
3|1|4|3|6|7|6|10|9|11|3|3|||||
9|7|3|5|11|7|13|15|12|14|13|5|1|2|||10
48|45|45|40|32|42|38|38|32|17|22|9|4|1|||14
207|209|207|220|239|240|297|262|267|200|163|78|19|5|2||12
||||||||||||||||
8|10|7|7|5|91|8|9|6|15|6|7|8||||13
23|32|19|35|32|42|37|37|34|27|25|13|2||1||21 #3
8|18|10|13|12|91|7|9|6|6|8|5|1|||1|10
6|3|3|7|6|7|10|10|10|5|5|4|I||||16
56|67|63|93|103|83 I|97|96|94|55|52|24|9|2||11|
2|3|8|5|9|8 I|14|14|9|12|8|4||1|||18
7|16|14|16|20|24 I|28|20|33|32|17|10|6|3|||19
12|8|6|5|7|6|14|7|8|6|3|6|2||||20
1|4|6|7|5|4|8|4|12|8|8|3|1|1|||21
5|1|6|4|6|4|10|4|7|5|3|3|1||||ZZ
6||4|21|7 (|5|4|5|6|7|4|2|1||||23
12|9|12|24|12|16 I|23|21|21|8|12|6|7||||29
50|70|100|102|110|117|123|122|122|105|75|46|13|7|1||25
8|2|2|6|4|16|7|11|16|14|10|4|1||||26
9|14|9|21|18|35|33|43|41|33|27|16|8|1|||27
24|22|19|38|29|37|37|45|41|31|25|8|6|3|||28
3|3|3|12|7|11|7|8|12|13|10|2|4||||ZY
1|8|7|4|6|3|6|10|8|6|2|4|3|1|||80
20|18|21|29|25|30|31|83|28|36|17|6|2||||31
71|88|62|124|116|132|158|151|161|183|69|38|8|3|||
16|14|14|18|18|28|26|31|32|28|17|7|5|1|||83
11|13|15|11|23|35 I|32|28|36|82|25|16|3|2|||34
22|23|19|31|16|23|45|31|36|43|19|12|9||||35
21|9|5|6|6|12|15|16|20|20|7|10|2||||36
22|35|21|17|31|39|40|85|46|40|18|12|7|1|||87
2|1|2|4|2|7|12|11|9|12|9|2|2|||1|38
2|2|3|1|7|4|3|10|4|8|3|5|2||||89
7|3|3|12|11|15|11|13|12|9|9|5|||||40
3|4|4|7|8|4|7|13|12|19|12|4|2|2|||41
25|33|48|42|52|72|65|53|63|50|24|19||2|1||42
9|12|6|7|15|14|12|25|18|17|12|9|2|1|||48
35|38|47|47|67|73|90|98|92|80|55|22|12||1||44
10|11|13|6|14|12|12|7|11|6||1|1|1|1||l'
123|159|165|224|273|250|330|349|352|340|236|102|33|7|||$45
104|141|180|165|159|135|120|69|94|68|28|18|9|1|4||P
23|22|47|44|48|42|43|51|41|40|22|12|5||||46
66|74'|74|89|50|35|26|24|11|8|7|1|2||2||
7|4|11|11|10|12|11|12|5|7|9|6|4||||(147
2|6|4|6|4|8|3|6|2|3|2||-||||l'
19|13|11|19|21|16|32|35|21|14|7|6|1|||5|48
11|20|8|.9|6|4|6|2|1||3|1|||||K
2|12|13|13|10|16|14|17|13|13|11|6|2|2||1|[}49
10|18|17|16|12|8|14|6|6|2|3|1||1||2|l'
6|6|6|4|14|14|16|34|32|25|14|10|1|||1|50
2|5|2|6|2|3|1|1|3||||||||K
17|22|28|30|38|23|29|40|23|26|17|6|1||||1551
36|29|17|17|12|7|7|2|6|4|2|2|2|1|2|1 l'|
||||||||||||||||
67|95|84|108|111|92|123|127|133|100|56|27|8|1|1||52
91|110|103|110|116|51|46|40|27|8|9|4|1|1||If|
13|24|18|26|33|29|37|33|31|31|13|6|1|1|||1153
36|45|44|44|47|31|26|13|10|5|2|2|1|1|1|1 1|
4|2||3|5|3|6|3|4|3|3|||||1|lisa
3|10|10|12|15|4|3|3|1|2||1|||||U
32|34|24|46|49|35|52|42|53|29|19|13|1|1|||fl55
88|98|116|112|87|28|48|19|21|10|2|2|1||4|4|If

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years|8 years.|4 years.|Under 5 years.|5 109 years.|10 14 years.|15 19 years.|20 24 years.|25 to 29 years.
1|REGISTRATION CITIES-Continued. ILLINOIS. Alton|260|29|8|1|5|2|45|6|8|4|7|12
2|Aurora|493 Il|66|11|8|3|6 Il|94 It|18|7|18|14|17
3|Belleville|317 Il|35|4|2|1|1 II|43 Il|8|7|7|12|8
4 5|Berwyn|126 Il|16|1|2|3|1|23 Il|7|3|4|5|4
|Bloomington|430 Il|45|9|4|3|4 Il|65|2|7|12|9|11
6|Blue Island|178|24|6|5|2|6|43|17|10|2|10|2
7|Cairo White|156 Il|11|1||1|1 il|14|5|3|4|8|17
8|(Colored Canton|79 II|14|||||14|2|4|1|5|9
|||||||||||||
9|Centralia|160|21|6|||1 Il|28 Il|8|4|6|8|6
||148 Il|26|6|1|1||34 Il|3|1|5|10|4
10|Champaign||||||||||||
11|(White Chicago|203|26|4|2|1||33|4|3|12|5|9
|Colored|28,709|4,748|991|461|392|314 II|6,906 Il|957|541|579|860|1,098
12|Chicago Heights|2,110 Il|300|67|32|25|14 II|438 II|42|29|64|136|186
13|Cicero||||||||||||
||205 Il|49|10|12|7|II|78 II|7|6|3|5|7
14|Danville|321|73|20|4|6|10 Il|113|16|2|7|8|7
15|Decatur White|531|78|8|6|3|1|96|12|13|16|21|25
16|East St. Louis Colored|601 Il|89|8|6|3|4|110|18|15|19|20|20
17|Elgin|613 II|108|15|9|8|8|118 Il|15|16|16|20|32
||140 Il|22|6|3|3|Il|34 II|7|6|10|12|15
18|Evanston|532 II|24|6|3|1|1 Il|35 Il|5|4|8|13|20
19|Forest Park||||||||||||
20|Freeport|410|63|6|2|5|9|85|15|8|10|10|10
21|Galesburg|99 Il|9|1||2|II|12 Il|6||2|2|1
22|Granite City|308 Il|25|5|4|4|5|43 Il|14|6|7|16|9
||324|II 26|6|1|1|1 Il|35 Il|9|5|9|9|12
23|Herrin||||||||||||
24|Jacksonville*|158 il|29|5|4|2|II|40|7|3|8|5|10
25|Joliet||||||||||||
26|Kankakee|140|40|7|2|2|3|54|6|1|4|8|8
27|Kewanee|448|Il 22|2|3|3|1 ll|31 Il|7|10|3|10|11
||515 Il|81|24|8|10|4 Il|127 Il|21|8|17|19|27
28|La Salle|225 II|34|7|2|3|/|46 li|3|2|9|2|5
29|Lincoln*|221|Il 39|4|1|1|3 li|48 Il|14|7|5|12|4
30|Mattoon||||||||||||
31|Maywood|151|25|1|1|3|3|33|7|4|3|2|3
32|Moline|203|Il 12|4|6|2|3 II|27 II|12|14|18|8|4
||201|Il 36|2|2|2|2 Il|44|6|5|9|7|1
|||||||||||||
33|Murphysboro White Colored|106|Il 9|3|2|I|Il|15|4|1|2|4|2
34|Oak Park|306 Il|32|3||5|1 Il|41 Il|5|4|7|12|8
35|Ottawa|111|16|5|2||1|24|1|5|4|5|4
36|Pekin|13|Il 2|||||2|||1|2|
37|Peoria|527|Il 66|5|2|5|5 Il|83 Il|13|7|7|19|15
38|Quincy|148|II 20|1|2|4|2 Il|29 Il|7|2|4|2|3
39|Rock Island|128|Il 16|3|2|3|2 Il|26 Il|4|3||4|5
40|Rockford|1.014|117|10|9|5|10|151|36|16|29|26|34
41|Springfield|511|II 42|6|2|5|3 Il|58 II|4|5|7|13|10
42|Streator|356|Il 41|4|2||1 Il|48|II 8|10|6|8|18
43|Urbans|694|Il 84|18|6|2|4|114|Il 22|12|15|33|22
44|Waukegan|903|120|13|9|7|6|155|18|15|32|30|32
|||||||||||||
|INDIANA.|214|Il 25|10|3||2 !!|40|II 81|5|3|7|8
45|Anderson|79|Il 10|1|1|||12|II 1|4||3|1
46|Bloomington|226|Il 41|10|3|2|2 Il|58|II 8|10|9|6|5
47|Clinton||||||||||||
48|Crawfordsville|312|52|10|3|5|5|75|6|5|10|6|12
49|East Chicago|144|II 26|7|4||Il|37|II 4|2||3|3
50|Elkhart|101|27|1|2|||30|Il 1|2|3|4|5
51|Elwood|152|Il 15|5|4||1 Il|25|Il 4|2|4|4|3
52|Evansville|382|133|37|25|16|6|217|18|8|5|5|15
53|Fort Wayne a|307|II 41|4|2|3|3 Il|53|II 11|3|8|10|9
54|Frankfort|141|Il 22|2|3|1|1 II|29|Il 3|2|2|6|6
55|Gary|1,000|Il 113|24|7|9|4 II|157|Il 20|17|27|45|49
56|Hammond||||||||||||
57|Huntington|978|116|14|11|13|10|164|42|16|22|37|35
||165|II 25|7|1|2|1|If 36|Il 3|5|7|5|1
58|Indianapolis White|711|II 171|33|10|17|9 Il|240|Il 26|20|22|32|50
|Colored|407|Il 64|14|10|10|3 II|101|Il 27|10|20|15|25
59|Jeffersonville White|197|Il 38|7|2|2|II|49|II 5|7|6|9|3
60|Colored. Kokomo|3.511|435|61|42|22|19|579|87|47|80|110|144
||608|II 95|21|11|3|4 II|134|Il 15|14|29|33|46
61|La Porte|88|Il 12|1||1|Il|14||2|2|2|1
62|Lafayette|30|Il 21|1|||II|3||2||3|2
63 64|Logansport Marion|339|Il 72|11|3||2|88 II|Il 7|6|10|12|11
65|Michigan City|180|26|3|3|2||34|3|3|4|2|4
|||||||||||||
66|Mishawaka|416|Il 51|8|5|3|1 II|68|Il 6|10|14|11|18
67|Muncle|252 II|35|3|5|2|II|45|II 2|4|4|4|11
68|New Albany|342|Il 46|8|3|3|3 Il|63|II 10|6|6|9|10
69|New Castle|253 Il|40|9|4|2|3|58|1|2|5|13|7
70|Peru|185|28|1||1||30|9|4|4|8|8
||463 Il|77|9|2|6|3 Il|97|II 8|8|18|20|23
||306|II 24|4|2|2|2 Il|34|Il 5|4|8|8|8
||138|Il 31|7|1|1||II 40|4|6|1|6|6
||146|21|8|1|2|II|32|3|7|1||4

||||||DEATHS|AT AGE|OF-|||||||Deaths at un-|
80 to 34 years.|35 to 39 years.|40 to44 years.|45 to 49 years.|50 54 years.|55 to59 years.|60 64 years.|65 69 years.|70 74 years.|75 79 years.|80 to84 years.|85 89 years.|90 to 94 years.|95 to 99 years.|100 years and over.|known age.|
7|9|6|12|18|17|22|20|18|14|20|10|4||1||1
10|19|21|15|22|36|44|36|41|30|23|19|7|2|||2
8|14|8|13|25|17|24|26|25|37|22|9|4||||3
7|3|5|3|10|13|10|8|5|7|4|5|||||4
17|10|20|24|25|25|33|44|31|46|29|10|8|2|||5
2|12|9|9|8|6|14|12|7|7|6|2|||||6
6|6|11|6|13|11|7|12|11|10|6|5|1||||in n
7|5|1|1|10|6|2|4|2|1|1|1|1||2||If
||||||||||||||||
3|4|6|5|7|7|12|16|14|11|7|5|3||||8
4|7|7|6|8|13|11|7|8|41|6|7|1|1||1|9
4|6|5|15|12|8|11|18|16|18|15|5|3|1|||10
1,220|1,399|1,361|1,632|1,846|2,013|2,212|1,811|1,577|1,217|822|472|145|34|5|2|be
143|203|166|183|158|102|82|71|54|26|10|15|1||1||If
12|8|8|15|12|8|9|7|8|9|2|1|||||12
11|11|6|10|14|27|21|22|13|16|12|2|3||||13
28|19|21|34|33|18|37|39|42|35|25|12|5||||14
26|27|17|23|29|44|42|43|54|41|37|13|2|1|||15
23|36|19|43|44|41|38|30|34|28|18|8|3|1|||the
7|12|6|7|6|4|7|3|2|2|||||||If
15|31|43|24|40|36|42|53|45|54|31|26|6|1|||17
12|8|12|23|33|29|28|20|37|31|23|13|3||||18
2|3|1|2|5|3|7|7|14|16|11|4|1||||19
12|13|11|18|11|22|25|23|29|20|14|11|4||||20
4|12|21|18|15|17|29|22|24|27|20|23|8|4|1||21
4|9|12|7|4|6|13|8|6|7|7|2|||||22
12|10|6|5|6|4|5|4|3|3||||1|||23
15|16|18|25|27|41|45|46|50|40|26|15|9|3|||24
24|17|17|21|31|28|35|34|30|29|16|10|2|1|1||25
9|10|7|5|10|12|18|23|18|13|14|12|6|1|||26
5|7|13|4|8|12|14|9|21|21|7|9|1||||27
8|6|4|7|9|8|16|13|7|6|7|5|2|1|||28
7|8|5|8|11|12|6|14|12|8|16|9|4||||29
4|9|2|5|11|8|14|15|15|19|17|7|2|1|||30
||||||||||||||||
2|2|4|6|8|8|3|9|8|15|10|2|1||||31
10|18|22|18|15|14|20|26|33|24|16|12|||1||32
7|3|3|4|4|10|5|4|7|7|9|5|||||loo
|2||3||1||1|||||1||||TOO
25|22|25|27|38|45|38|51|40|26|22|17|5|2|||34
|4|5|4|7|10|8|16|12|15|9|4|6|1|||35
5|7|2|5|5|9|10|13|9|6|5|8||2|||36
41|45|43|48|57|72|87|81|81|77|53|26|11||||37
11|26|21|25|30|25|45|60|46|49|45|21|9|1|||38
17|16|15|20|27|28|24|24|25|23|22|17|3|2|||39
30|21|32|28|27|35|42|61|61|59|42|24|12|2|||40
35|40|32|57|70|55|73|56|55|61|49|25|11|1|1||41
12|4|8|5|8|15|19|17|15|17|14|6|1|2|||42
|5|3|1|4|2|6|7|7|8|8|2|5||||43
19|9|10|9|10|13|13|9|14|11|8|4||1|||44
15|9|20|19|10|18|25|29|19|16|5|8|5||||45
2|5|6|6|5|3|10|9|15|14|8|5|||||46
4|6|4|5|8|2|7|6|8|3|2||||1||47
1|8|2|7|7|10|13|12|16|11|16|7|||||48
13|24|12|19|5|7|10|7|6|5|5|1|||||49
10|10|9|13|15|21|26|27|28|23|14|15|2||||50
3|4|5|2|10|5|14|18|7|11|10|3|1||||51
35|53|47|55|69|57|76|67|90|58|47|17|11|1|2||52
37|42|40|48|58|56|69|83|77|71|49|24|6|2|||53
2|4|3|3|9|15|14|14|16|17|4|6|1||||54
62|53|37|37|34|28|26|18|11|8|3|3|1||||55
19|22|22|17|22|22|20|21|21|11|61|3|3||||56
6|4|9|6|4|6|11|18|15|15|15|8|1||||57
146|136|155|195|227|235|270|286|286|242|173|88|22|2|1||KO
26|48|57|37|47|28|26|19|27|7|8|4|2|1|||
6|1|1|4|4|4|8|10|11|7|4|3|3|1|||lso
2|2|2|1|1|4|3|1|1|2|||||1||
17|14|8|7)|16|28|16|23|30|18|14|9|5||||60
5|7|7|11|8|16|13|22|17|6|8|6|3|1|||61
12|15|15|16|22|32|39|37|32|28|23|12|4|2|||62
12|8|6|7|13|16|17|16|19|29|26|10|1|2|||63
11|9|10|9|19|22|28|31|32|36|19|8|4||||64
7|17|13|5|15|15|21|14|20|15|13|7|5||||65
9|4|11|10|14|9|9|12|15|15|7|5|1|1|||66
17|17|17|21|17|29|38|28|32|35|22|10|5|1|||67
8|12|11|19|24|17|23|39|31|22|17|12|4||||68
3|41|6|4|2|7|12|9|6|12|6|3|1||||69
4|51|5|51|5|14|81|12 I|14|12|7|7|1||||70

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5to9 years.|10 14 years.|15 19 years.|20 to 24 years.|25 to29 years.
1|REGISTRATION CITIES-Continued. INDIANA-continued Richmond|309|47|4|1|2|1|55|4|3|7|5|8
2|South Bend|723|153|18|11|81|5 ll|195 Il|18|8|11|22|25
3|Terre Haute|897|119|23|10|6|5 Il|163 Il|33|13|23|30|40
4|Vincennes|288|41|11|6|1|5 II|64 II|18|9|13|5|13
5|Whiting|105 II|41|4|1|1|3 Il|50 Il|6|2|4|1|4
|KANSAS.||||||||||||
6|Arkansas City|135|18|3|2|1|2|26|3|1|2|6|7
7|White Atchison|130 Il|19|1|3|2|Il|25 II|7||4|2|8
|Colored||||||||||||
8|Chanute|33 II|3|1|||II|4||2|1|2|I
||166 Il|26|3|2||2|33 Il|3|7|3|7|9
9|White Coffeyville Colored|150|25|5|3||2|35|2|1||3|10
|||||||||||||
10|El Dorado|28 II|2|2|1||1|6 Il|||3|1|3
11|Emporia|92 II|18|2|3|1|3 H|27 Il|4|1|3|2|4
12|Fort Scott|143 Il|18|1|2|1|1 Il|23 Il|2|5|2|2|2
13 14|Hutchinson Independence|168|23|2||3|1|29|4||2|4|3
|White|260 II|36|8|3|3|5 II|55 Il|9|4|9|9|10
15|Kansas City (Colored|134|17|6||1|1|25 Il|1|2|4|6|4
||984 II|143|27|11|11|5 Il|197 Il|24 I|13|23|38|40
16|White Lawrence|273|28|7|1|1||37 Il|1|10|17|11|17
|Colored White Leavenworth|157|21|3|2|2|2|30|3|2|5|5|2
17|Colored|24 Il|4|||||4 Il|1||i|i|
||208 II|25|2|3|3|1|34 Il|7|4||4|3
18 19|Parsons Pittsburg|36 Il|5||1|||6 II|3|3||1|3
20|Salina|164|22|1|5|3||31|2|2|6|4|3
21|Topeka|162 Il|25|3||3|3 Il|34 Il|8|4|5|4|2
22|Wichita|186 Il|21|5|4|1|5 Il|36 Il|2|7|7|6|7
|KENTUCKY.|726 II|103|15|6|5|3 II|132 Il|12|10|18|23|21
|Ashland|973 Il|131|21|7|10|8 II|177 II|30|18|27|38|39
23 24|Covington||||||||||||
25|White Henderson|251|57|16|4|1|4|82|6|6|8|13|13
|Colored|734 Il|73|10|6|1|5 Il|95 II|10|10|26 I|19|38
|White|121 Il|16|4|6|I|1 II|27 Il|2|3|4|5|3
26|Lexington Colored|67|10|2|2||1|15 Il|1|2|1|3|2
27|White Louisville Colored|614|52|14|4|5|2|77|9|5|23|31|29
||298|II 23|7|2||1|38 Il|3|3|12|22|24
28|Newport|2.514|Il 288|38|33|21|15 Il|395 Il|51|40|52|76|91
29|White Owensboro|800|Il 69|I 14 I|3|2|6 Il|94 II|14|6|35|48|51 I
|Colored White|294|41|11|5|2||59|5|4|14|9|9
30|Paducah Colored|245|II 27|6|5|1|2 II|41 Il|8|6|10|10|8
||62|5||||Il|5 Il|1|3|1|6|2
|LOUISIANA.|285|II 32|12|1||3 Il|48 Il|6|7|4|12|10
|White|126|If 13|I 3|1|1||18 Il|||6|9|16 I
31|Alexandria Colored||||||||||||
32|White Baton Rouge Colored|162|20|3||4|2|29|2|3|6|9|12
||180|Il 28|3|1|1||33|Il 1|9|9|23|20
33|White Lake Charles|173|23|6|2|3|2 Il|36|Il 4|6|7|15|8
|Colored|150|24|4|2|||30|I 4||7|9|13
34|White Monroe Colored|138|22|4|2||2|30|5|6|3|4|10
|White|91|Il 19|I 4|1|||24|Il 2||4|6|6
35|New Orleans Colored|143|II 16|I 5|2|2||Il 25|Il 3|5|4|4|15
|||||||||||||
36|White Shreveport * Colored|117|Il 15|2|1|2||If 20|4|5|7|4|10
||4.005|428|101|38|29|17|613|64|55|94|143|184
|MAINE.|2.463|Il 370|70|24|11|5|Il 480|I 24|45|104|187|182
37|Auburn|473|II 43|15|8|7|5|II 78|II 13|15|13|25|26
38|Augusta *|565|Il 51|6|3|5|2|II 67|li 91|13|40|65|51
39 40|Bangor Bath||||||||||||
||213|24|3|6|2||35|3|5|4|1|9
41|Biddeford|258|23|4|4|2|1|Il 34|II 7|4|2|7|8
42 43|Lewiston Portland|528|II 50|8|1|1|2|II 57|Il 8|7|12|26|15
44|Sanford town|129|Il 13|5|2|1||21|1|||2|2
45|Waterville|310|60|13|8|2|1|84|9|5|12|4|9
|MARYLAND.|527|104|7|7|7||Il 125|Il 20|10|10|11|20
||1,020|II 96|I 19|6|4|5|If 130|Il 19|13|15|20|32
46|Annapolis White|87|Il 9|3||||Il 12|"II 2|"|1|1||5
|Colored White.|177|30|6|2|3|1|Il 42|5|8|8|10|2
47|Baltimore Colored||||||||||||
48|Cumberland|76|8|2|1|1||12|2||3|5|2
|White|81|Il 18|1|1|1||II 21|II 2|1|4|8|4
49|Frederick Colored|8,106|II 1,239|230|86|63|52|1.670|142|116|149|228|248
50|Hagerstown|2,274|li 359|I 80|33|20|9|il 501|36|37|75|134|152
||433|73|12|3|1|1|90|10|8|11|21|14
||181|Il 28|5|2|2|2|Il 39|5|5|5|5|8
||26|Il 8||1|1||10|||1||2
||336|Il 59|7|1|1|2|70|Il 7|3|2|9|9

||||||DEATHS|AT AGE|OF-|||||||Deaths|
80 to 34 years.|85 to 39 years.|40 to44 years.|45 to49 years.|50 54 years.|55 59 years.|60 64 years.|65 69 years.|70 74 years.|75 79 years.|80 84 years.|85 89 years.|90 94 years.|95 99 years.|100 years and over.|at un- known age.|
13|9|8|5|12|17|24|26|37|25|29|11|8|2||1|1
18|42|26|24|35|33|56|61|49|47|32|16|4|1|||2
43|54|40|44|42|61|59|67|67|53|29|20|4|2||1|3
17|11|14|16|11|9|17|26|18|17|5|3||2|||4
3|6|3|8|6|2|2|2|1|3|1|1|||||5
3|9|6|7|4|5|6|9|19|13|6|2|1||||6
2|2|2|1|10|5|13|9|6|10|16|7|1||||n
||||||||||||||||
1|3|2|2|2|3|2||8|2|3|||1|||II
8|4|8|6|5|7|8|9|15|20|10|4|||||8
8|9|4|3|9|10|11|13|13|5|8|4||2|||6
||||||||||||||||
2|1|3|3||1|1|2|||2||||||If .
5|1|6|7|1|3|7|6|6|4|1|4|||||10
3|2|7|8|12|7|10|14|19|8|12|4|1||||11
4|5|10|5|12|12|10|15|11|13|18|7|3|1|||12
7|13|16|12|9|21|11|17|9|22|17|6|2|2|||13
3|4|2|9|i|5|7|8|17|15|15|31.|1|2|||14
26|85|34|81|51|74|73|76|78|57|32|22|4|5||1|he
18|21|22|21|17|25|18|12|8|5|5|4|1|2|1||120
2.|1|7|6|2|6|10|18|10|17|17|11|3||||lan
1||2|1|1||2||1|2|4|2|1||||10
5|6|8|14|12|10|15|20|20|17|18|6|5||||11.
1|2|2|2|2|1|2|1|4|1|2||||||l/
7|4|5|7|9|10|14|8|10|16|12|12|1||1||18
4|71|4|5|4|8|11|19|12|14|8|7|2||||19
5|71|5|7|13|14|10|15|13|17|8|4|2||||1 : 20
33|24|24|30|40|49|54|50|62|63|35|/ 33|10|2||1|21
35|43|52|52|45|52|81|68|75|66|42|20|7|3|2|1|22
10|17|5|16|9|7|16|15|8|15|3|2|||||23
31|29|29|48|45|62|54|57|57|58|39|20|6||||1 / 24
4|10|2|8|5|7|4|7|11|7|7|3|2||||
2|5|8|8|8|4|3|8|4|2|||1||||240
18|28|32|41|36|35|42|52|40|56|37|13|8|||2|line
18|17|29|23.|25|15|23|14|13|8|6|5|2|1|1|1|1200
93|92|130|131|151|167|252|210|199|193|120|49|18|4|||los
42|60|55|61|76|64|62|45|36|25|12|8|1|31|2||"II"""
5|15|6|9|14|19|23|24|20|25|25|9|||||28
12|5|7|8|8|13|27|23|18|18|14|8|H 1||||Den
4|2|6|6|5|7|2|3|2|2|2|2||||1|1228
18|21|13|10|9|23|23|21|26|16|11|4|2|1|||
8|10|8|12|9|5|11|4|2|2||1|||4|1|1200
12|5|7|10|13|12|11|11|6|8|5|1|||||
9|12|9|9|8|2|5|6|5|6|6|2|2|2|2||1784
6|9|4|10|10|8|8|13|8|11|6|4|||||If
11|10|10|8|14|5|5|4|5|5|2|5|1|2|||1782
4|6|5|7|1|6|15|13|6|6|4|6||1|||
||||||||||||||||
2|6|7|7|4|3|7|4|3|2|2|1||||1|1100
9|10|9|9|5|"9|"|8|7|8|4|71|2|||||lin
6|11|7|10|4|4|3|3|5|2|10|2|||||10%
161|200|236|226|298|280|354|349|276|236|124|87|13|7|2|3|line
151|196|178|198|206|131|109|84|73|46|29|17|7|10|4|2|1700
26|31|25|37|27|26|28|33|26|20|13|9|2||||line
46|45|44|38|38|22|30|15|14|12|8|5|1|1||1|120°
1|6|4|6|14|15|12|19|19|25|22|10|3||||37
7|11|13|15|20|20|18|20|16|27|17|6|6||||38
19|17|25|29|25|29|47|58|47|48|31|24|2|2|||39
1|4|3|5|6|8|11|14|18|13|8|10|I|1|||40
10|8|13|13|12|12|16|23|18|27|25|8|1|1|||41
22|20|24|26|33|25|34|30|34|37|26|12|8||||42
33|33|52|53|69|84|83|86|95|86|62|38|16|1|||43
2|5|1|5|2|11|15|7|6|6|4|2|||||44
10|6|5|5|5|7|21|13|15|6|6|5|3||||45
|5|3|3|6|3|8|7|5|5|2|4|1||||
