|||||||DEATHS|OCCURRING|IN-||||
21|9|5|6|6|12|15|16|20|20|7|10|2||||36
22|35|21|17|31|39|40|35|46|40|18|12|7|1|||37
2|1|2|4|2|7|12|11|9|12|9|2|2|||1|38
2|2|3|1|7|4|3|10|4|8|3|5|2||||39
7|3|3|12|11|15|11|13|12|9|9|5|||||40
3|4|4|7|8|4|7|13|12|19|12|4|2|2|||41
25|33|48|42|52|72|65|53|63|50|24|19||2|1||42
9|12|6|7|15|14|12|25|18|17|12|9|2|1|||43
35|38|47|47|67|73|90|98|92|80|55|22|12||1||-44
10|11|13|6|14|12|12|7|11|6||1|1|1|1||
123|159|165|224|273|250|330|349|352|340|236|102|33|7|||45
104|141|180|165|159|135|120|69|94|68|28|18|9|1|4||
23|22|47|44|48|42|43|51|41|40|22|12|5||||46
66|74|74|89|50|35|26|24|11|8|7|1|2||2||
7|4|11|11|10|12|11|12|5|7|9|6|4||||47
2|6|4|6|4|8|3|6|2|3|2||||||
19|13|11|19|21|16|32|35|21|14|7|6|1|||5|48
11|20|8|.9|6|4|6|2|1||3|1|||||
2|12|13|13|10|16|14|17|13|13|11|6|2|2||1|49
10|18|17|16|12|8|14|6|6|2|3|1||1||2|
6|6|6 2|4 6|14 2|14 3|16 1|34 1|32 3|25|14|10|1|||1|50
2 17|5 22|28|30|38|23|29|40|23|26|17|6|1||||51
36|29|17|17|12|7|7|2|6|4|2|2|2|1|2|1|
67|95|84|108|111|92|123|127|133|100|56|27|8|1|1||52
91|110|103|110|116|51|46|40|27|8|9|4|1|1|||53
13|24|18|26|33|29|37|33|31|31|13|6|1|1|||
36|45|44|44|47|31|26|13|10|5|2|2|1|1|1|1|
4|2||3|5|3|6|3|4|3|3|||||1|54
3|10|10|12|15|4|3|3|1|2||1|||||
32|34|24|46|49|35|52|42|53|29|19|13|1|1|||55
88|98|116|112|87|28|48|19|21|10|2|2|1||4|4|

|||||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|All deaths.|Under 1 year.|1 year.|2 years|3 years.|4 years.|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION CITIES-Continued. ILLINOIS.||||||||||||
1|Alton|260|29|8|1|5|2|45|6|8|4|7|12
2|Aurora|493|66|11|8|3|6|94|18|7|18|14|17
3|Belleville|317|35|4|2|1|1|43|8|7|7|12|8
4|Berwyn|126|16|1|2|3|1|23|7|3|4|5|4
5|Bloomington|430|45|9|4|3|4|65|2|7|12|9|11
6|Blue Island|178|24|6|5|2|6|43|17|10|2|10|2
7|Cairo White|156|11|1||1|1|14|5|3|4|8|17
|Colored|79|14|||||14|2|4|1|5|9
8|Canton|160|21|6|||1|28|8|4|6|8|6
9|Centralia|148|26|6|1|1||34|3|1|5|10|4
10|Champaign|203|26|4|2|1||33|4|3|12|5|9
11|(White|28,709|4,748|991|461|392|314|6,906|957|541|579|860|1,098
|Chicago Colored|2,110|300|67|32|25|14|438|42|29|64|136|186
12|Chicago Heights|205|49|10|12|7||78|7|6|3|5|7
13|Cicero|321|73|20|4|6|10|113|16|2|7|8|7
14|Danville|531|78|8|6|3|1|96|12|13|16|21|25
15|Decatur|601|89|8|6|3|4|110|18|15|19|20|20
16|East St. Louis White Colored|613 140|108 22|15 6|9 3|8 3|8|118 34|15 7|16 6|16 10|20 12|32 15
17|Elgin*|532|24|6|3|1|1|35|5|4|8|13|20
18|Evanston|410|63|6|2|5|9|85|15|8|10|10|10
19|Forest Park|99|9|1||2||12|6||2|2|1
20|Freeport|308|25|5|4|4|5|43|14|6|7|16|9
21|Galesburg|324|26|6|1|1|1|35|9|5|9|9|12
22|Granite City|158|29|5|4|2||40|7|3|8|5|10
23|Herrin|140|40|7|2|2|3|54|6|1|4|8|8
24|Jacksonville*|448|22|2|3|3|1|31|7|10|3|10|11
25|Joliet.|515|81|24|8|10|4|127|21|8|17|19|27
26|Kankakee|225|34|7|2|3||46|3|2|9|2|5
27|Kewanee|221|39|4|1|1|3|48|14|7|5|12|4
28|La Salle|151|25|1|1|3|3|33|7|4|3|2|3
29|Lincoln*|203|12|4|6|2|3|27|12|14|18|8|4
30|Mattoon|201|36|2|2|2|2|44|6|5|9|7|1
31|Maywood|106|9|3|2|1||15|4|1|2|4|2
32|Moline|306|32|3||5|1|41|5|4|7|12|8
33|Murphysboro (White (Colored|111 13|16 2|5|2||1|24 2|1|5|4 1|5 2|4
34|Oak Park|527|66|5|2|5|5|83|13|7|7|19|15
35|Ottawa|148|20|1|2|4|2|29|7|2|4|2|3
36|Pekin|128|16|3|2|3|2|26|4|3||4|5
37|Peoria|014|117|10|9|5|10|151|36|16|29|26|34
38|Quincy|511|42|6|2|5|3|58|4|5|7|13|10
39|Rock Island|356|41|4|2||1|48|8|10|6|8|13
40|Rockford|694|84|18|6|2|4|114|22|12|15|33|22
41|Springfield|903|120|13|9|7|6|155|18|15|32|30|32
42|Streator|214|25|10|3||2|40|8|5|3|7|8
43|Urbana|79|10|1|1|||12|1|4||3|1
44|Waukegan|226|41|10|3|2|2|58|8|10|9|6|5
|INDIANA.||||||||||||
45|Anderson|312|52|10|3|5|5|75|6|5|10|6|12
46|Bloomington|144|26|7|4|||37|4|2||3|9
47|Clinton|101|27|1|2|||30|1|2|3|4|5
48|Crawfordsville|152|15|5|4||1|25|4|2|4|4|3
49|East Chicago|382|133|37|25|16|6|217|18|8|5|5|15
50|Elkhart|307|41|4|2|3|3|53|11|3|8|10|9
51|Elwood|141|22|2|3|1|1|29|3|2|2|6|6
52|Evansville|1,000|113|24|7|9|4|157|20|17|27|45|49
53|Fort Wayne|978|116|14|11|13|10|164|42|16|22|37|35
54|Frankfort|165|25|7|1|2|1|36|3|5|7|5|1
55|Gary|711|171|33|10|17|9|240|26|20|22|32|50
56|Hammond|407|64|14|10|10|3|101|27|10|20|15|25
57|Huntington|197|38|7|2|2||49|5|7|6|9|3
58|White Indianapolis|3,511|435|61|42|22|19|579|87|47|80|110|144
|Colored|608|95|21|11|3|4|134|15|14|29|33|46
59|Jeffersonville White Colored|88 30|12 2|1 1||1||14 3||2 2|2|2 3|1 2
60|Kokomo|339|72|1L|3||2|88|7|6|10|12|11
61|La Porte|180|26|3|3|2||34|3|3|4|2|4
62|Lafayette|416|51|8|5|3|1|68|6|10|14|11|18
63|Logansport|252|35|3|5|2||45|2|4|4|4|11
64|Marion|342|46|8|3|3|3|63|10|6|6|9|10
65|Michigan City|253|40|9|4|2|3|58|1|2|5|13|7
66|Mishawaka|185|28|1||1||30|9|4|4|8|8
67|Muncle|463|77|9|2|6|3|97|8|8|18|20|23
68|New Albany|306|24|4|2|2|2|34|5|4|8|8|8
69|New Castle|138|31|7|1|1||40|4|6|1|6|6
70|Peru|146|21|8|1|2||32|3|7|1||4

||||||DEATHS|AT AGE|OF-|||||||Deaths|
80 to 34 years.|35 to 39 years.|40 to 44 years.|45 years.|years.|to4950t05455t5960t64 years.|years.|65 to 69 years.|70 to 74 years.|75 to 79 years.|80 to 84 years.|years.|85t8990t9495t99100 years years.|years.|and over.|at un- known age.|
7|9|6|12|18|17|22|20|18|14|20|10|4||1||
10|19|21|15|22|36|44|36|41|30|23|19|7|2|||
8|14|8|13|25|17|24|26|25|37|22|9|4||||
7|3|5|3|10|13|10|8|5|7|4|5|||||
17|10|20|24|25|25|33|44|31|46|29|10|8|2|||
2|12|9|9|8|6|14|12|7|7|6|2|||||
6|6|11|6|13|11|7|12|11|10|6|5|1||||
7|5|1|1|10|6|2|4|2|1|1|1|1||2||
3|4|6|5|7|7|12|16|14|11|7|5|3||||
4|7|7|6|8|13|11|7|8|4|6|7|1|1||1|
4|6|5|15|12|8|11|18|16|18|15|5|3|1|||10
1,220|1,399|1,361|1,632|1,846|2,013|2,212|1,811|1,577|1,217|822|472|145|34|5|2|11
143|203|166|183|158|102|82|71|54|26|10|15|I||1||
12|8|8|15|12|8|9|7|8|9|2|1|||||
11|11|6|10|14|27|21|22|13|16|12|2|3||||13
28|19|21|34|33|18|37|39|42|35|25|12|5||||
26|27|17|23|29|44|42|43|54|41|37|13|2|1|||15
23 7|36 12|19 6|43 7|44 6|41 4|38 7|30 3|34 2|28 2|18|8|3|1|||16
15|31|43|24|40|36|42|53|45|54|31|26|6|1|||17
12|8|12|23|33|29|28|20|37|31|23|13|3||||18
2|3|1|2|5|3|7|7|14|16|11|4|1||||19
12|13|11|18|11|22|25|23|29|20|14|11|4||||20
4|12|21|18|15|17|29|22|24|27|20|23|8|4|1||21
4|9|12|7|4|6|13|8|6|7|7|2|||||22
12|10|6|5|6|4|5|4|3|3||||1|||23
15|16|18|25|27|41|45|46|50|40|26|15|9|3|||24
24|17|17|21|31|28|35|34|30|29|16|10|2|1|1||25
9|10|7|5|10|12|18|23|18|13|14|12|6|1|||26
5|7|13|4|8|12|14|9|21|21|7|9|1||||27
8|6|4|7|9|8|16|13|7|6|7|5|2|1|||28
7|8|5|8|11|12|6|14|12|8|16|9|4||||29
4|9|2|5|11|8|14|15|15|19|17|7|2|1|||30
2|2|4|6|8|8|3|9|8|15|10|2|1||||31
10|18|22|18|15|14|20|26|33|24|16|12|||1||32
7|3 2|3|4 3|4|10 1|5|4 1|7|7|9|5|1||||33
25|22|25|27|38|45|38|51|40|26|22|17|5|2|||34
|4|5|4|7|10|8|16|12|15|9|4|6|1|||35
5|7|2|5|5|9|10|13|9|6|5|8||2|||36
41|45|43|48|57|72|87|81|81|77|53|26|11||||37
11|26|21|25|30|25|45|60|46|49|45|21|9|1|||38
17|16|15|20|27|28|24|24|25|23|22|17|3|2|||39
30|21|32|28|27|35|42|61|61|59|42|24|12|2|||40
35|40|32|57|70|55|73|56|55|61|49|25|11|1|1||41
12|4|8|5|8|15|19|17|15|17|14|6|1|2|||42
|5|3|1|4|2|6|7|7|8|8|2|5||||43
19|9|10|9|10|13|13|9|14|11|8|4||1|||44
15|9|20|19|10|18|25|29|19|16|5|8|5||||45
2|5|6|6|5|3|10|9|15|14|8|5|||||46
4|6|4|5|8|2|7|6|8|3|2||||1||47
1|8|2|7|7|10|13|12|16|11|16|7|||||48
13|24|12|19|5|7|10|7|6|5|5|1|||||49
10|10|9|13|15|21|26|27|28|23|14|15|2||||50
3|4|5|2|10|5|14|18|7|11|10|3|1||||51
35|53|47|55|69|57|76|67|90|58|47|17|11|1|2||52
37|42|40|48|58|56|69|83|77|71|49|24|6|2|||53
2|4|3|3|9|15|14|14|16|17|4|6|1||||54
62|53|37|37|34|28|26|18|11|8|3|3|1||||55
19|22|22|17|22|22|20|21|21|11|6|3|3||||56
6|4|9|6|4|6|11|18|15|15|15|8|1||||57
146|136|155|195|227|235|270|286|286|242|173|88|22|2|1||58
26|48|57|37|47|28|26|19|27|7|8|4|2|1|||
6|1|1|4|4|4|8|10|11|7|4|3|3|1|||59
2|2|2|1|1|4|3|1|1|2|||||1||
17|14|8|7|16|28|16|23|30|18|14|9|5||||60
5|7|7|11|8|16|13|22|17|6|8|6|3|1|||61
12|15|15|16|22|32|39|37|32|28|23|12|4|2|||62
12|8|6|7|13|16|17|16|19|29|26|10|1|2|||63
11|9|10|9|19|22|28|31|32|36|19|8|4||||
7|17|13|5|15|15|21|14|20|15|13|7|5||||
9|4|11|10|14|9|9|12|15|15|7|5|1|1|||66
17|17|17|21|17|29|38|28|32|35|22|10|5|1|||67
8|12|11|19|24|17|23|39|31|22|17|12|4||||
3|4|6|4|2|7|12|9|6|12|6|3|1||||
4|5|5|5|5|14|8|12|14|12|7|7|1||||

|AREA AND|All|||||DEATHS|AT AGE|OF-||||
|COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION CITIES-Continued.||||||||||||
|INDIANA-continued||||||||||||
1|Richmond|309|47|4|||||||||
2|South Bend|723|153|18|1|2|1|55|4|3|7|5|8
3|Terre Haute|897|119|23|11|8|5|195|18|8|11|22|25
4|Vincennes|288|41|11|10 6|6|5|163|33|13|23|30|40
5|Whiting|105|41|4|1|1 1|5 3|64 50|18 6|9|13|5|13
|KANSAS.|||||||||2|4|1|4
6|Arkansas City|135|18|3|2||||||||
7|White Atchison|130|19|1|3|1 2|2|26 25|3 7|1|2 4|6|7
8|Colored Chanute|33 166|3|1||||4||2|1|2 2|8
|||26|3|2||2|33|3|7|3|7|9
9|Coffeyville White (Colored|150|25|5|3||2|35|2|1||3|10
10|El Dorado|28 92|2 18|2 2|1||1|6|||3|1|3
11|Emporia|143|18|1|3 2|1 1|3 1|27|4|1|3|2|4
||||||||23|2|5|2||
12|Fort Scott|168|23|2||||||||2|2
13|Hutchinson|260|36|8||3|1|29|4||2|4|3
14|Independence|134|17|6|3|3 1|5 1|55|9|4|9|9|10
15|White Kansas City|984|143|27|11|11|5|25|1|2|4|6|4
|Colored|273|28|7|1|1||197 37|24 1|13 10|23 17|38 11|40 17
16|Lawrence White|157|21|3|2|2|||||||
|Colored|24|4||||2|30|3|2|5|5|2
17|Leavenworth White|208|25|2|3|3|1|4|1||1|1|
|Colored|36|5||1|||34 6|7 3|4||4|3
18|Parsons|164|22|1||||||3||1|3
19|Pittsburg|162|25|3|5|3||31|2|2|6|4|3
20|Salina|186|21|5||3|3|34|8|4|5|4|2
21|Topeka|726|103|15|4 6|1|5|36|2|7|7|6|7
22|Wichita|973|131|21|7|5 10|3 8|132 177|12 30|10 18|18|23|21
|KENTUCKY.||||||||||27|38|39
23|Ashland|251|57|16|||||||||
24|Covington|734|73|10|4 6|1 1|4 5|82|6|6|8|13|13
25|Henderson White|121|16|4|6||1|95 27|10 2|10|26|19|38
|(Colored|67|10|2|2||1|15|1|3 2|4 1|5 3|3
26|Lexington White|614|52|14|4|5|||||||2
|Colored|298|23|7|2||2|77|9|5|23|31|29
27|White Louisville|2,514|288|38|33|21|1 15|33|3|3|12|22|24
|Colored|800|69|14|3|2|6|395 94|51 14|40 6|52 35|76 48|91
28|Newport|294|41|11|5|2|||||||51
29|White Owensboro|245|27|6|5|1|2|59|5|4|14|9|9
|Colored|62|5|||||41|8|6|10|10|8
30|Paducah White|285|32|12|1||3|5 48|1|3|1|6|2
|(Colored|126|13|3|1|1||18|6|7|4|12|10
|LOUISIANA.||||||||||6|9|16
31|Alexandria White|162|20|3||4|2|29|2|3|||
|Colored|180|28|3|1|1|||||6|9|12
32|White Baton Rouge|173|23|6|2|3|2|33|1|9|9|23|20
|Colored|150|24|4|2|||36 30|4 4|6|7|15|8
33|Lake Charles White|138|22|4|2||2||||7|9|13
|Colored|91|19|4|1|||30|5|6|3|4|10
34|White Monroe|143|16|5|2|2||24 25|2||4|6|6
|Colored|117|15|2|1|2||20|3 4|5 5|4 7|4 4|15 10
35|New Orleans White|4,005|428|101|38|29|17||||||
|Colored|2,463|370|70|24|||613|64|55|94|143|184
36|White Shreveport *|473|43|15|8|11 7|5 5|480 78|24 13|45|104|187|182
|Colored|565|51|6|3|5|2|67|9|15 13|13 40|25 65|26
|MAINE.||||||||||||51
37|Auburn|213|24||||||||||
38|Augusta *|258|23|3|6|2||35|3|5|4|1|9
39|Bangor *|528|50|4|4|2|1|34|7|4|2|7|8
40|Bath|129|13|3 5|1 2|1 1|2|57 21|8 1|7|12|26 2|15
41|Biddeford|310|60||||||||||2
42|Lewiston|527|104|13|8|2|1|84|9|5|12|4|9
43|Portland|1,020|96|7|7|7||125|20|10|10|11|20
44|Sanford town|87|9|19|6|4|5|130|19|13|15|20|32
45|Waterville|177||3||||12|2|1|1||5
|||30|6|2|3|1|42|5|8|3|10|2
|MARYLAND.||||||||||||
46|Annapolis White|76|8|2|1|1||12|2||||
|Colored|81|18|1|1|1||21|||3|5|2
47|White Baltimore|8,106|1,239|230|86|63|52|1,670|2 142|1 116|4|8|4
|Colored|2,274|359|80|33|20|9|501|36|37|149 75|228 134|248 152
48|Cumberland|433|73|12|3|1|||||||
49|White Frederick|181|28|5|2|2|1 2|90 39|10 5|8|11|21|14
50|Colored|26|8||1|1||10||5|5|5|8
|Hagerstown|336|||||||||1||2
|||59|7|1|1|2|70|7|3|2|9|9

|||||||||||||||||||||||||COMNO||WHERE|||
||||||||||||||||||NATION|WOOD|HOTEL|||WORD|||||||
||||||HEND||||DONA|FOOD||||||||||||NHHO|||ANNO||||
||FREE|||ONE|||||||||||||||NO|1|||||||||
|||||||||||5020|||||||||||||||||||
||||||||AND||1500||||||||||NOON||NEW|NOWA|||CONNO||||
|2012||||||||||GAON|||||||WNOC||||||||||||
|||||GENERAL|||||NONE||||||||||NEWO|||000ww|||ONEN||||
|31|||||||||GONN||||2500000||PEND|||20-2012|||||||||||
||||||||||||||||||||NEWN|||12|9||GNOW||||
||||||||||AGAI||||00010011|||||||||||||NOTWER|||
||155|||GNOWE|||||||||||||AND||of|6|||||||||
||||||||||HOWE||GOON 12||||||||||||||CONTROLLED||||
|25|||||||||||GOOD||||||WAS||NEING|||||o|00||||
|2522|||||||||||||||||||20|18|||||||||
||||||||||WIN||A|||||||||||10|13||||||
||||||||||||||||||||||||||||||
||||||||||Grower||GOOGG||NONE||||||||||5||ONE||||
|20||||||||||||||||||||HIGH||CO IF|||||||
||||||||||||office||||||||||||||||||
|||||||||2022|NANG||||||||100|||254|||GHNOO||Total||||
|||||||||12|ONIA||NOVE|||FNIS|||||||||||NN||||
|2000|||||||||||||||||was|||ONE|ANWON|HA|4||||||
||||||||||||GINN|||HANOOO||||||||||||4400|||
|NOO|||||02.00||||NNHO||||||||HNO|NONNH||GHO|HANDON||||||||
|||||||||HNN||||||||||||||||||NNHN|||
||252||3.|100|KNOW||||||||||||||||NOINNE||2||||||
||||||||||||||||WAS|||was|||||||||||
|||||||||1-|||||||||||||||||||||
|||||||||||||||||||2|||||||||||
|||||||||AN|||||||||||||||||||||
|||||||||||||||||||||||FOR|9||8|GAWN|||
|||||||||NW|||||||||23||||||||||||
||||||||36||||||||||||||||||||||

|||||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|All deaths.|Under 1 year.|1 year.|2 years|8 years.|4 years.|Under 5 years.|5 years.|years.|to910to1415to1920to2425to years.|years.|29 years.
|REGISTRATION CITIES-Continued. MASSACHUSETTS.||||||||||||
1|Adams town|135|21|4|1|2|1|29|3|3||1|2
2|Amesbury town|117|14||1|1||16|3|||2|2
3|Arlington town|217|27||2||1|30|3|2|6|4|7
4|Attleboro|238|31|3|4||1|39|6|2|5|13|9
5|Belmont town|80|9|2||||11|1||1|1|1
6|Beverly|243|24|7|3||3|37|8|2|5|5|5
7|Boston White|,882|1,450|274|115|91|71|2,001|227|158|165|236|348
|(Colored|344|51|15|3|2|4|75|7|5|10|15|25
8|Braintree town|132|12|2||1|1|16|2|2|2|12|11
9|Brockton|686|98|9|3|5|3|118|17|9|7|11;|9
10|Brookline town|399|14|4|1|1||20|3|1|3|8|7
11|Cambridge|1,388|195|34|7|7|8|251|36|19|24|48|45
12|Chelsea|576|75|7|8|2|5|97|17|6|8|25|18
13|Chicopee|327|105|13|5|7|3|133|13|2|4|8|2
14|Clinton town|176|44|6|2|1||53|3|3|4|"11"""|3
15|Danvers town|291|12|2|3|||17|1|1|2|46|9
16|Dedham town|112|15|2||||17|1|1||10|4
17|Easthampton town|111|37|3|1|2|2|45|5||2|1#|2
18|Everett|348|53|6|5|2|1|67|7|4|11|11|13
19|Fall River|1,717|423|104|30|29|17|603|37|35|24|34|42
20|Fitchburg|432|85|20|12|6|5|128|9|5|9|10|10
21|Framingham town|255|27|5|2|2|3|39|4|4|7|7|
22|Gardner town|190|29|5|2|3||39|2|4|5|6|
23|Gloucester|302|36|2|5|1|3|47|4|2|8|7|6
24|Greenfield town|161|21|2|2|1||26|3|2|3|3|
25|Haverhill|664|87|10|9|6|3|115|15|9|15|10)|20
26|Holyoke|745|145|22|13|7|4|191|20|7|13|15)|15
27|Lawrence|1,075|198|45|20|18|12|293|39|12|17|24|34
28|Leominster|200|24|9|5|3|1|42|6|5|9|4X|32
29|Lowell|1,465|284|44|24|16|22|390|54|16|IS 25|30|29
30|Lynn|1,108|156|15|6|8|9|194|26|21|18|22|33
31|Malden|565|66|12|4|8|5|95|16|9|10|.14|13
32|Marlborough|173|26|2|3||1|32|4|1|3|2|7
33|Medford|368|46|12|1|1|1|61|7|4|7|8|10
34|Melrose|206|21|1|2|2||26|1|4|3|6|t. 7
35|Methuen|201|29|5|2|3|2|41|2|3|2|1|6
36|Milford town|182|33|2|2|1||38|3|1|1|7|3
37|Natick town|142|16|1||||17|1||2|2|3
38|New Bedford|1, 384|347|69|24|17|12|469|37|25|24|48|41
39|Newburyport|214|23|5||2|3|33|10|3|2||3
40|Newton|466|43|4|5|3|6|61|11|6|9|7|14
41|North Adams|270|36|4|1|1|3|45|7|7|8|8|10
42|Northampton|422|35|5|4|2|3|49|14|6|8|13|11
43|Northbridge town|90|20|3|1||2|26|2||2|1|2
44|Norwood town|128|25|5|5||1|36|5|2|4|2|5
45|Peabody|195|35|6|2|2|1|46|7|2|2|7|7
46|Pittsfield|558|79|13|7|8|3|110|15|11|11|12|25
47|Plymouth town|167|24|4||4|3|35|4|6|2|1|4
48|Quincy|416|55|12|6|3|2|78|7|5|10|8|10
49|Revere|185|37|10|3|1|1|52|2|1|1|3|5
50|Salem|542|82|9|8|5|1|105|13|6|9|8|13
51|Saugus town|105|17|3|1|||21|4|1|2|1|2
52|Somerville|988|135|17|7|6|6|171|27|19|26|26|25
53|Southbridge town|132|24|7|2|1||34|3|1|7|2|3
54|Springfield|1,542|243|36|18|21|13|331|40|25|30|31|59
55|Taunton|635|89|14|3|4|4|114|14|8|14|14|18
56|Wakefield town|130|12|1|3|1|1|18|2|2|1|1|2
57|Waltham|409|52|8|3|4|3|70|18|8|6|12|12
58|Watertown town|176|17|3|1|4|1|26|8|1|2|5|5
59|Webster town|132|22|2|4|1|1|30|2|2||2|4
60|West Springfield town|117|14|7|I|1|1|24|4|||1|
61|Westfield town|224|26|2|3|3||34|4|8|8|9|4
62|Weymouth town|131|13|2|1|1|1|18|3||2||
63|Winchester town|116|12|1||1||14|1|2||4|4
64|Winthrop town|145|16|1||3|1|21||1|1|2|5
65|Woburn|167|26|4|1|2|3|36|2|2|3|8|4
66|Worcester|2, ,387|371|58|32|21|20|502|64|24|51|62|75
|MICHIGAN.||||||||||||
67|Adrian|184|16|1||1|3|21|2|6|7|8|7
68|Alpena|154|29|4|2|4|1|40|4||6|2|10
69|Ann Arbor*|504|62|7|2|5|4|80|20|18|15|20|28
70|Battle Creek|582|69|10|3|4||86|11|7|17|19|20
71|Bay City|632|95|15|7|7|11|135|21|16|21|20|20
72|Benton Harbor|181|26|3|1|2|1|33|5||6|8|5
73|Detroit White|9,653|2,159|373|189|141|112|2,974|369|177|232|306|479
|Colored|733|140|38|12|8|3|201|12|17|21|62|72
74|Escanaba|215|41|3|3|5|1|53|10|3|6|6|6

|||||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|All deaths.|Under 1 year.|1 year.|2 years.|3 years.|4 years.|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION CITIES-Continued.||||||||||||
|MICHIGAN-continued.||||||||||||
1|Flint|847|218|23|9|9|9|268|42|15|15|32|22
2|Grand Rapids|1,538|235|23|16|12|5|291|52|34|34|41|43
3|Hamtramck|452|173|42|22|17|23|277|29|3|7|15|18
4|Highland Park|342|51|4|4|1|2|62|14|5|5|12|19
5|Holland|105|12|2|2|1|2|19|3||3|3|3
6|Ironwood|133|32|6|1|1|1|41|5|5|1|3|10
7|Ishpeming|116|24|1|3|2|2|32|6||3|7|4
8|Jackson|686|103|28|11|9|5|156|20|11|14|20|21
9|Kalamazoo|897|100|8|8|1||117|20|12|14|13|40
10|Lansing|638|125|21|9|6|5|166|19|10|20|25|18
11|Marquette|188|37|2|2|2|1|44|7|3|7|6|6
12|Monroe|130|19|2|1|2|2|26|2|1||5|4
13|Muskegon|469|76|6|4|1|3|90|12|9|12|14|12
14|Owosso|211|41|6|2|4||53|4|2|4|6|7
15|Pontiac|438|70|6|2|3|1|82|3|10|5|10|12
16|Port Huron|374|65|7|4|1|1|78|13|9|13|15|4
17|Saginaw|810|150|22|9|5|3|189|30|13|17|22|29
18|Sault Ste. Marie|154|32|5|2|1|2|42|10|3|9|7|6
19|Traverse City *|347|18|1|1||1|21|6|5|4|6|10
20|Wyandotte|172|43|10|7|1|1|62|6|3|7|4|10
|MINNESOTA,||||||||||||
21|Austin|111|15|4|3|1|1|24|2|2|8|4|2
22|Duluth|931|155|23|11|12|9|210|25|21|22|41|35
23|Faribault|207|16||4|1|2|23|12|12|14|12|13
24|Hibbing|132|32|4|1||2|39|6|1|5|5|14
25|Mankato|198|23|2|2|3||30|5|1|4|6|5
26|Minneapolis|4, 289|527|69|53|36|36|721|126|72|96|155|202
27|Rochester|817|37|5|3|7|2|54|18|10|20|26|42
28|St. Cloud|192|40|8|1||4|53|9|4|4|6|5
29|St. Paul|2,555|304|28|32|24|15|403|66|33|64|96|119
30|Virginia|116|25|3||1|3|32|3|2|2|3|2
31|Winona|245|31|4|6|3|1|45|10|5|8|2|9
|MISSISSIPPI.||||||||||||
|Biloxi White|126|29|11|3|3|1|47|2|1|4|6|1
32|Colored|31|4|||1||5|2||||
|Columbus White|53|5||||1|6||1|5||1
33|Colored|84|14|2||||16|1|2|9|6|3
34|White Greenville|69|4|2|1|1||8||3|1|3|3
|Colored|226|22|4|4|3|1|34|9|7|8|8|12
35|White Hattiesburg|74|5|4||2|1|12|4|3|2|3|3
|Colored|65|16|5|1|||22||1|7|6|4
|Jackson * White|290|28|5|7||1|41|3|6|9|17|5
36|Colored|566|54|6|3|2|1|66|4|8|34|58|49
37|Laurel White|125|11|8|5|1|1|26|3|10|8|7|8
|Colored|92|13|8.||1||22|2|4|6|13|6
|Meridian * White|229|31|15|3|2|1|52|5|5|14|10|12
38|Colored|221|31|6|7|1||45|3|8|13|25|19
39|Natchez White|64|6||1|2||9|1|3|1||4
|Colored|135|22|6|1|||29|2||6|11|5
40|Vicksburg * White|148|14|1|1|1|1|18||4|2|7|4
|(Colored|393|30|6||1||37|4|8|16|27|23
|MISSOURI.||||||||||||
41|Cape Girardeau|186|33|6|4|1||44|1|4|10|11|8
42|Carthage|142|15|4|1||3|23|2|2|6|2|3
43|Columbia White|128|25|1|1|1||28|1|1|5|5|5
|Colored|44|5|1||||6|1|1|2|2|2
44|Hannibal|220|29|1||2|1|33|2|7|6|5|5
45|Independence|203|22||3||1|26|8|3|6|4|8
46|White Jefferson City|145|19|2|4|1|1|27|1|3|5|4|8
|Colored|29|2|||||2|1||1|3|4
47|Joplin|415|53|7|1|4|2|67|11|8|16|16|9
48|Kansas City White|3,891|561|63|37|33|29|723|112|80|101|163|149
|(Colored|763|74|20|7|1|2|104|6|12|21|51|54
49|Moberly|207|18|2|1|3|2|26|4|6|5|8|6
50|St. Joseph|1, 253|118|38|12|11|15|194|35|19|35|48|47
51|White St. Louis|8, 306|809|139|78|73|49|1,148|228|134|168|227|320
|Colored|1, ,301|147|28|15|13|3|206|24|19|51|83|81
52|Sedalia|300|25|9|3|5|1|43|7|9|9|9|8
53|Springfield|593|80|14|4|7|6|111|7|21|16|20|14
|MONTANA.||||||||||||
54|Anaconda|118|24|5|1|1|1|32|3|1|3|3|2
55|Billings|198|36|5|2|5||48|6|9|11|9|11
56|Butte|468|51|7|7|3|1|69|6|3|8|13|15
57|Great Falls|263|49|8|6||3|66|3|5|5|10|13
58|Helena|167|13|2|||2|17|2|2|2|7|6
59|Missoula|212|27|3|2|2|1|35|6|5|8|10|7

